plating_stk_no,model_no,version,brand,gender,pol_finish,jig_qty,traycate,ip_wiping,bath_type
10005NAA02,10005,A,TI,GEN,Buffed,144,Normal,No,Bright
10005SAA02,10005,A,TI,GEN,Buffed,144,Normal,No,Bright
10005YAA02,10005,A,TI,GEN,Buffed,144,Normal,No,Bright
10019SAA02,10019,A,TI,GEN,Buffed,144,Jumbo,No,Bright
10020SAA02,10020,A,TI,GEN,Buffed,144,Jumbo,No,Bright
10024QAA02/GUN,10024,A,TI,GEN,Buffed,144,Jumbo,No,Bright
10024SAA02,10024,A,TI,GEN,Buffed,144,Jumbo,No,Bright
10026SAA02,10026,A,TI,GEN,Buffed,98,Jumbo,No,Bright
10027QAA02/GUN,10027,A,TI,GEN,Buffed,98,Jumbo,No,Bright
10027SAA02,10027,A,TI,GEN,Buffed,98,Jumbo,No,Bright
10033SCA02,10033,A,TI,GEN,Bi-Finish,98,Jumbo,Yes,Semi bright
10038NAA02,10038,A,TI,GEN,Buffed,98,Jumbo,No,Bright
10038QAA02/BRN,10038,A,TI,GEN,Buffed,98,Jumbo,No,Bright
10038SAA02,10038,A,TI,GEN,Buffed,98,Jumbo,No,Bright
10038WAA02,10038,A,TI,GEN,Buffed,98,Jumbo,No,Bright
1072YAC02,1072,C,TI,GEN,Buffed,220,Normal,No,Bright
1092YAA02,1092,A,SO,GEN,Buffed,220,Normal,No,Bright
1107YAK02,1107,K,TI,GEN,Buffed,144,Normal,No,Bright
1161NFC02,1161,C,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1161SFC02,1161,C,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1161SFE02,1161,E,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1163BAB02,1163,B,TI,GEN,Buffed,220,Normal,No,Bright
1163SAB02,1163,B,TI,GEN,Buffed,220,Normal,No,Bright
1163YAB02,1163,B,TI,GEN,Buffed,220,Normal,No,Bright
1164YAC02,1164,C,TI,GEN,Buffed,220,Normal,No,Bright
1164YAE02,1164,E,TI,GEN,Buffed,220,Normal,No,Bright
1165YAC02,1165,C,TI,GEN,Buffed,220,Normal,No,Bright
1165YAD02,1165,D,TI,GEN,Buffed,220,Normal,No,Bright
1168SAB02,1168,B,TI,GEN,Buffed,220,?,No,Bright
1230SEB02,1230,B,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1230SEC02,1230,C,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1234YEB02,1234,B,TI,GEN,Bi-Finish,220,Normal,Yes,Semi bright
1311BAB02,1311,B,TI,GEN,Buffed,220,?,No,Bright
1318YAB02,1318,B,TI,GEN,Buffed,220,Normal,No,Bright
1335YAB02,1335,B,TI,GEN,Buffed,220,Normal,No,Bright
1377YAB02,1377,B,TI,GEN,Buffed,220,Normal,No,Bright
1383YAA02,1383,A,TI,GEN,Buffed,220,?,No,Bright
139SAD02,139,D,TI,GEN,Buffed,220,Normal,No,Bright
139YAD02,139,D,TI,GEN,Buffed,220,Normal,No,Bright
140YAC02,140,C,TI,GEN,Buffed,220,Normal,No,Bright
1416YAA02,1416,A,TI,GEN,Buffed,220,?,No,Bright
1445YAG02,1445,G,TI,GEN,Buffed,144,?,No,Bright
1455YAA02,1455,A,TI,GEN,Buffed,220,?,No,Bright
1459YAB02,1459,B,TI,GEN,Buffed,220,Normal,No,Bright
1461YAA02,1461,A,TI,GEN,Buffed,220,?,No,Bright
1474QAE02/BRN,1474,E,FT,GEN,Buffed,144,Normal,No,Bright
1474QDE02/BLU/M,1474,E,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1474NFE02,1474,E,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1474NSA02,1474,A,FT,GEN,Shotblasting,144,Normal,Yes,Dull
1474SSA02,1474,A,FT,GEN,Shotblasting,144,Normal,Yes,Dull
1474SSB02,1474,B,FT,GEN,Shotblasting,144,Normal,Yes,Dull
1477SJE02,1477,E,TI,GEN,Bi-Finish,144,?,Yes,Semi bright
1478SBG02,1478,G,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1478SBL02,1478,L,FT,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1482YAE02,1482,E,TI,GEN,Buffed,220,Normal,No,Bright
1482YAG02,1482,G,TI,GEN,Buffed,220,Normal,No,Bright
1485YAB02,1485,B,TI,GEN,Buffed,220,Normal,No,Bright
1486YAA02,1486,A,TI,GEN,Buffed,220,Normal,No,Bright
1486SAB02,1486,B,TI,GEN,Buffed,220,Normal,No,Bright
1486YAB02,1486,B,TI,GEN,Buffed,220,Normal,No,Bright
1487YAB02,1487,B,TI,GEN,Buffed,144,Normal,No,Bright
1488SAA02,1488,A,TI,GEN,Buffed,144,Normal,No,Bright
1488WAA02,1488,A,TI,GEN,Buffed,144,Normal,No,Bright
1488YAA02,1488,A,TI,GEN,Buffed,144,Normal,No,Bright
1489SAA02,1489,A,TI,GEN,Buffed,144,Jumbo,No,Bright
1494SCB02,1494,B,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
149YAD02,149,D,TI,GEN,Buffed,220,Normal,No,Bright
1506BCC02,1506,C,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1506YCC02,1506,C,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1508SEA02,1508,A,TI,GEN,Bi-Finish,144,Jumbo,Yes,Semi bright
1521YAA02,1521,A,TI,GEN,Buffed,144,Normal,No,Bright
1521YAB02,1521,B,TI,GEN,Buffed,144,Normal,No,Bright
1521YAE02,1521,E,TI,GEN,Buffed,144,Normal,No,Bright
1521YAF02,1521,F,TI,GEN,Buffed,144,Normal,No,Bright
1522YAA02,1522,A,TI,GEN,Buffed,220,?,No,Bright
1527SAA02,1527,A,TI,GEN,Buffed,144,Jumbo,No,Bright
1528YAA02,1528,A,TI,GEN,Buffed,144,Jumbo,No,Bright
1528YAB02,1528,B,TI,GEN,Buffed,144,Jumbo,No,Bright
1530BEA02,1530,A,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1530BEC02,1530,C,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1530SEC02,1530,C,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1530YEC02,1530,C,TI,GEN,Bi-Finish,144,Normal,Yes,Semi bright
1548SSA02,1548,A,TI,GEN,Shotblasting,144,?,Yes,Dull
1557BAA02,1557,A,TI,GEN,Buffed,144,Jumbo,No,Bright
1557BAB02,1557,B,TI,GEN,Buffed,144,Jumbo,No,Bright
1557YAB02,1557,B,TI,GEN,Buffed,144,Jumbo,No,Bright
1558SEA02,1558,A,TI,GEN,Bi-Finish,70,Jumbo,Yes,Semi bright
1558YEB02,1558,B,TI,GEN,Bi-Finish,70,Jumbo,Yes,Semi bright
1560SAA02,1560,A,TI,GEN,Buffed,144,Normal,No,Bright
1560YAA02,1560,A,TI,GEN,Buffed,144,Normal,No,Bright
1578SAA02,1578,A,TI,GEN,Buffed,144,Normal,No,Bright
1578YAA02,1578,A,TI,GEN,Buffed,144,Normal,No,Bright
1578SAC02,1578,C,TI,GEN,Buffed,144,Normal,No,Bright
1578YAC02,1578,C,TI,GEN,Buffed,144,Normal,No,Bright
1580SEA02,1580,A,TI,GEN,Buffed,144,Normal,No,Bright
1580YEA02,1580,A,TI,GEN,Buffed,144,Normal,No,Bright
1580SEF02,1580,F,TI,GEN,Buffed,144,Normal,No,Bright
1580YEF02,1580,F,TI,GEN,Buffed,144,Normal,No,Bright
1581SAA02,1581,A,TI,GEN,Buffed,144,Normal,No,Bright
